"module name","name","version","description","licenses","licenseFile","licenseModified"
"finalhandler@1.2.0","finalhandler","1.2.0","Node.js final http responder","MIT","node_modules/finalhandler/LICENSE",""
"find-root@1.1.0","find-root","1.1.0","find the closest package.json","MIT","node_modules/find-root/LICENSE.md",""
"follow-redirects@1.15.2","follow-redirects","1.15.2","HTTP and HTTPS modules that follow redirects.","MIT","node_modules/follow-redirects/LICENSE",""
"form-data-encoder@1.7.2","form-data-encoder","1.7.2","Encode FormData content into the multipart/form-data format","MIT","node_modules/form-data-encoder/license",""
"form-data@4.0.0","form-data","4.0.0","A library to create readable "multipart/form-data" streams. Can be used to submit forms and file uploads to other web applications.","MIT","node_modules/form-data/License",""
"formdata-node@4.4.1","formdata-node","4.4.1","Spec-compliant FormData implementation for Node.js","MIT","node_modules/formdata-node/license",""
"forwarded@0.2.0","forwarded","0.2.0","Parse HTTP X-Forwarded-For header","MIT","node_modules/forwarded/LICENSE",""
"fraction.js@4.2.0","fraction.js","4.2.0","A rational number library","MIT","node_modules/fraction.js/LICENSE",""
"fresh@0.5.2","fresh","0.5.2","HTTP response freshness testing","MIT","node_modules/fresh/LICENSE",""
"fs.realpath@1.0.0","fs.realpath","1.0.0","Use node's fs.realpath, but fall back to the JS implementation if the native one fails","ISC","node_modules/fs.realpath/LICENSE",""
"fsevents@2.3.2","fsevents","2.3.2","Native Access to MacOS FSEvents","MIT","node_modules/fsevents/LICENSE",""
"function-bind@1.1.1","function-bind","1.1.1","Implementation of Function.prototype.bind","MIT","node_modules/function-bind/LICENSE",""
"generate-function@2.3.1","generate-function","2.3.1","Module that helps you write generated functions in Node","MIT","node_modules/generate-function/LICENSE",""
"get-intrinsic@1.1.3","get-intrinsic","1.1.3","Get and robustly cache all JS language-level intrinsics at first require time","MIT","node_modules/get-intrinsic/LICENSE",""
"glob-parent@5.1.2","glob-parent","5.1.2","Extract the non-magic parent path from a glob string.","ISC","node_modules/glob-parent/LICENSE",""
"glob-parent@6.0.2","glob-parent","6.0.2","Extract the non-magic parent path from a glob string.","ISC","node_modules/tailwindcss/node_modules/glob-parent/LICENSE",""
"glob@7.2.3","glob","7.2.3","a little globber","ISC","node_modules/glob/LICENSE",""
"graceful-fs@4.2.10","graceful-fs","4.2.10","A drop-in replacement for fs, making various improvements.","ISC","node_modules/graceful-fs/LICENSE",""
"has-flag@3.0.0","has-flag","3.0.0","Check if argv has a specific flag","MIT","node_modules/has-flag/license",""
"has-symbols@1.0.3","has-symbols","1.0.3","Determine if the JS environment has Symbol support. Supports spec, or shams.","MIT","node_modules/has-symbols/LICENSE",""
"has-tostringtag@1.0.0","has-tostringtag","1.0.0","Determine if the JS environment has `Symbol.toStringTag` support. Supports spec, or shams.","MIT","node_modules/has-tostringtag/LICENSE",""
"has@1.0.3","has","1.0.3","Object.prototype.hasOwnProperty.call shortcut","MIT","node_modules/has/LICENSE-MIT",""
"hoist-non-react-statics@3.3.2","hoist-non-react-statics","3.3.2","Copies non-react specific statics from a child component to a parent component","BSD-3-Clause","node_modules/hoist-non-react-statics/LICENSE.md",""
"hosted-git-info@2.8.9","hosted-git-info","2.8.9","Provides metadata and conversions from repository urls for Github, Bitbucket and Gitlab","ISC","node_modules/hosted-git-info/LICENSE",""
"http-cookie-agent@4.0.2","http-cookie-agent","4.0.2","Allows cookies with every Node.js HTTP clients.","MIT","node_modules/http-cookie-agent/LICENSE",""
"http-errors@2.0.0","http-errors","2.0.0","Create HTTP error objects","MIT","node_modules/http-errors/LICENSE",""
"iconv-lite@0.4.24","iconv-lite","0.4.24","Convert character encodings in pure javascript.","MIT","node_modules/iconv-lite/LICENSE",""
"iconv-lite@0.6.3","iconv-lite","0.6.3","Convert character encodings in pure javascript.","MIT","node_modules/mysql2/node_modules/iconv-lite/LICENSE",""
"ieee754@1.2.1","ieee754","1.2.1","Read/write IEEE754 floating point numbers from/to a Buffer or array-like object","BSD-3-Clause","node_modules/ieee754/LICENSE",""
"ignore-by-default@1.0.1","ignore-by-default","1.0.1","A list of directories you should ignore by default","ISC","node_modules/ignore-by-default/LICENSE",""
"import-fresh@3.3.0","import-fresh","3.3.0","Import a module while bypassing the cache","MIT","node_modules/import-fresh/license",""
"inflight@1.0.6","inflight","1.0.6","Add callbacks to requests in flight to avoid async duplication","ISC","node_modules/inflight/LICENSE",""
"inherits@2.0.4","inherits","2.0.4","Browser-friendly inheritance fully compatible with standard node.js inherits()","ISC","node_modules/inherits/LICENSE",""
"ioredis@5.2.4","ioredis","5.2.4","A robust, performance-focused and full-featured Redis client for Node.js.","MIT","node_modules/ioredis/LICENSE",""
"ipaddr.js@1.9.1","ipaddr.js","1.9.1","A library for manipulating IPv4 and IPv6 addresses in JavaScript.","MIT","node_modules/ipaddr.js/LICENSE",""
"is-arrayish@0.2.1","is-arrayish","0.2.1","Determines if an object can be used as an array","MIT","node_modules/is-arrayish/LICENSE",""
"is-binary-path@2.1.0","is-binary-path","2.1.0","Check if a file path is a binary file","MIT","node_modules/is-binary-path/license",""
"is-core-module@2.11.0","is-core-module","2.11.0","Is this specifier a node.js core module?","MIT","node_modules/is-core-module/LICENSE",""
"is-expression@4.0.0","is-expression","4.0.0","Check if a string is a valid JavaScript expression","MIT","node_modules/is-expression/LICENSE.md",""
"is-extglob@2.1.1","is-extglob","2.1.1","Returns true if a string has an extglob.","MIT","node_modules/is-extglob/LICENSE",""
"is-glob@4.0.3","is-glob","4.0.3","Returns `true` if the given string looks like a glob pattern or an extglob pattern. This makes it easy to create code that only uses external modules like node-glob when necessary, resulting in much faster code execution and initialization time, and a better user experience.","MIT","node_modules/is-glob/LICENSE",""
"is-number@7.0.0","is-number","7.0.0","Returns true if a number or string value is a finite number. Useful for regex matches, parsing, user input, etc.","MIT","node_modules/is-number/LICENSE",""
"is-plain-object@5.0.0","is-plain-object","5.0.0","Returns true if an object was created by the `Object` constructor, or Object.create(null).","MIT","node_modules/is-plain-object/LICENSE",""
"is-promise@2.2.2","is-promise","2.2.2","Test whether an object looks like a promises-a+ promise","MIT","node_modules/is-promise/LICENSE",""
"is-property@1.0.2","is-property","1.0.2","Tests if a JSON property can be accessed using . syntax","MIT","node_modules/is-property/LICENSE",""
"is-regex@1.1.4","is-regex","1.1.4","Is this value a JS regex? Works cross-realm/iframe, and despite ES6 @@toStringTag","MIT","node_modules/is-regex/LICENSE",""
"jalaali-js@1.2.6","jalaali-js","1.2.6","Converts Gregorian and Jalaali calendars to each other","MIT","node_modules/jalaali-js/LICENSE",""
"js-stringify@1.0.2","js-stringify","1.0.2","Stringify an object so it can be safely inlined in JavaScript code","MIT","node_modules/js-stringify/LICENSE",""
"js-tokens@4.0.0","js-tokens","4.0.0","A regex that tokenizes JavaScript.","MIT","node_modules/js-tokens/LICENSE",""
"js-yaml@4.1.0","js-yaml","4.1.0","YAML 1.2 parser and serializer","MIT","node_modules/js-yaml/LICENSE",""
"json-parse-even-better-errors@2.3.1","json-parse-even-better-errors","2.3.1","JSON.parse with context information on error","MIT","node_modules/json-parse-even-better-errors/LICENSE.md",""
"json-schema-traverse@1.0.0","json-schema-traverse","1.0.0","Traverse JSON Schema passing each schema object to callback","MIT","node_modules/json-schema-traverse/LICENSE",""
"jsonwebtoken@8.5.1","jsonwebtoken","8.5.1","JSON Web Token implementation (symmetric and asymmetric)","MIT","node_modules/jsonwebtoken/LICENSE",""
"jstransformer@1.0.0","jstransformer","1.0.0","Normalize the API of any jstransformer","MIT","node_modules/jstransformer/LICENSE.md",""
"jwa@1.4.1","jwa","1.4.1","JWA implementation (supports all JWS algorithms)","MIT","node_modules/jwa/LICENSE",""
"jws@3.2.2","jws","3.2.2","Implementation of JSON Web Signatures","MIT","node_modules/jws/LICENSE",""
"license-checker@25.0.1","license-checker","25.0.1","Check license info for a package","BSD-3-Clause","node_modules/license-checker/LICENSE",""
"license-component@0.1.0","license-component","0.1.0","This is a [Next.js](https://nextjs.org/) project bootstrapped with [`create-next-app`](https://github.com/vercel/next.js/tree/canary/packages/create-next-app).","UNLICENSED","README.md",""
"license_manager@0.1.4","license_manager","0.1.4","License-definition manager","Custom: http://localhost","node_modules/license_manager/LICENSE",""
"lilconfig@2.0.6","lilconfig","2.0.6","A zero-dependency alternative to cosmiconfig","MIT","node_modules/lilconfig/LICENSE",""
"lines-and-columns@1.2.4","lines-and-columns","1.2.4","Maps lines and columns to character offsets and back.","MIT","node_modules/lines-and-columns/LICENSE",""
"lodash.defaults@4.2.0","lodash.defaults","4.2.0","The lodash method `_.defaults` exported as a module.","MIT","node_modules/lodash.defaults/LICENSE",""
"lodash.includes@4.3.0","lodash.includes","4.3.0","The lodash method `_.includes` exported as a module.","MIT","node_modules/lodash.includes/LICENSE",""
"lodash.isarguments@3.1.0","lodash.isarguments","3.1.0","The lodash method `_.isArguments` exported as a module.","MIT","node_modules/lodash.isarguments/LICENSE",""
"lodash.isboolean@3.0.3","lodash.isboolean","3.0.3","The lodash method `_.isBoolean` exported as a module.","MIT","node_modules/lodash.isboolean/LICENSE",""
"lodash.isinteger@4.0.4","lodash.isinteger","4.0.4","The lodash method `_.isInteger` exported as a module.","MIT","node_modules/lodash.isinteger/LICENSE",""
"lodash.isnumber@3.0.3","lodash.isnumber","3.0.3","The lodash method `_.isNumber` exported as a module.","MIT","node_modules/lodash.isnumber/LICENSE",""
"lodash.isplainobject@4.0.6","lodash.isplainobject","4.0.6","The lodash method `_.isPlainObject` exported as a module.","MIT","node_modules/lodash.isplainobject/LICENSE",""
"lodash.isstring@4.0.1","lodash.isstring","4.0.1","The lodash method `_.isString` exported as a module.","MIT","node_modules/lodash.isstring/LICENSE",""
"lodash.once@4.1.1","lodash.once","4.1.1","The lodash method `_.once` exported as a module.","MIT","node_modules/lodash.once/LICENSE",""
"lodash@4.17.21","lodash","4.17.21","Lodash modular utilities.","MIT","node_modules/lodash/LICENSE",""
"long@4.0.0","long","4.0.0","A Long class for representing a 64-bit two's-complement integer value.","Apache-2.0","node_modules/long/LICENSE",""
"loose-envify@1.4.0","loose-envify","1.4.0","Fast (and loose) selective `process.env` replacer using js-tokens instead of an AST","MIT","node_modules/loose-envify/LICENSE",""
"lru-cache@4.1.5","lru-cache","4.1.5","A cache object that deletes the least-recently-used items.","ISC","node_modules/named-placeholders/node_modules/lru-cache/LICENSE",""
"lru-cache@6.0.0","lru-cache","6.0.0","A cache object that deletes the least-recently-used items.","ISC","node_modules/lru-cache/LICENSE",""
"make-error@1.3.6","make-error","1.3.6","Make your own error types!","ISC","node_modules/make-error/LICENSE",""
"media-typer@0.3.0","media-typer","0.3.0","Simple RFC 6838 media type parser and formatter","MIT","node_modules/media-typer/LICENSE",""
"merge-descriptors@1.0.1","merge-descriptors","1.0.1","Merge objects using descriptors","MIT","node_modules/merge-descriptors/LICENSE",""
"merge2@1.4.1","merge2","1.4.1","Merge multiple streams into one stream in sequence or parallel.","MIT","node_modules/merge2/LICENSE",""
"methods@1.1.2","methods","1.1.2","HTTP methods that node supports","MIT","node_modules/methods/LICENSE",""
"mgr-swagger-express@0.0.6","mgr-swagger-express","0.0.6","Swagger annotations for your express project","MIT","node_modules/mgr-swagger-express/LICENSE",""
"micromatch@4.0.5","micromatch","4.0.5","Glob matching for javascript/node.js. A replacement and faster alternative to minimatch and multimatch.","MIT","node_modules/micromatch/LICENSE",""
"mime-db@1.52.0","mime-db","1.52.0","Media Type Database","MIT","node_modules/mime-db/LICENSE",""
"mime-types@2.1.35","mime-types","2.1.35","The ultimate javascript content-type utility.","MIT","node_modules/mime-types/LICENSE",""
"mime@1.6.0","mime","1.6.0","A comprehensive library for mime-type mapping","MIT","node_modules/mime/LICENSE",""
"minimatch@3.1.2","minimatch","3.1.2","a glob matcher in javascript","ISC","node_modules/minimatch/LICENSE",""
"minimist@1.2.7","minimist","1.2.7","parse argument options","MIT","node_modules/minimist/LICENSE",""
"mkdirp@0.5.6","mkdirp","0.5.6","Recursively mkdir, like `mkdir -p`","MIT","node_modules/mkdirp/LICENSE",""
"moment-jalaali@0.9.6","moment-jalaali","0.9.6","Jalaali (Jalali, Persian, Khorshidi, Shamsi) calendar system plugin for moment.js.","MIT","node_modules/moment-jalaali/LICENSE",""
"moment-timezone@0.5.40","moment-timezone","0.5.40","Parse and display moments in any timezone.","MIT","node_modules/moment-timezone/LICENSE",""
"moment@2.29.4","moment","2.29.4","Parse, validate, manipulate, and display dates","MIT","node_modules/moment/LICENSE",""
"ms@2.0.0","ms","2.0.0","Tiny milisecond conversion utility","MIT","node_modules/ms/license.md",""
"ms@2.1.2","ms","2.1.2","Tiny millisecond conversion utility","MIT","node_modules/agent-base/node_modules/ms/license.md",""
"ms@2.1.3","ms","2.1.3","Tiny millisecond conversion utility","MIT","node_modules/send/node_modules/ms/license.md",""
"mysql2@2.3.3","mysql2","2.3.3","fast mysql driver. Implements core protocol, prepared statements, ssl and compression in native JS","MIT","node_modules/mysql2/License",""
"named-placeholders@1.1.2","named-placeholders","1.1.2","sql named placeholders to unnamed compiler","MIT","node_modules/named-placeholders/LICENSE",""
"nano@10.1.0","nano","10.1.0","The official CouchDB client for Node.js","Apache-2.0","node_modules/nano/LICENSE",""
"nanoid@3.3.4","nanoid","3.3.4","A tiny (116 bytes), secure URL-friendly unique string ID generator","MIT","node_modules/nanoid/LICENSE",""
"negotiator@0.6.3","negotiator","0.6.3","HTTP content negotiation","MIT","node_modules/negotiator/LICENSE",""
"neo4j-driver-bolt-connection@4.4.10","neo4j-driver-bolt-connection","4.4.10","Implements the connection with the Neo4j Database using the Bolt Protocol","Apache-2.0","node_modules/neo4j-driver-bolt-connection/LICENSE",""
"neo4j-driver-core@4.4.10","neo4j-driver-core","4.4.10","Internals of neo4j-driver","Apache-2.0","node_modules/neo4j-driver-core/LICENSE",""
"neo4j-driver@4.4.10","neo4j-driver","4.4.10","Connect to Neo4j 3.5.0 and up from JavaScript","Apache-2.0","node_modules/neo4j-driver/LICENSE",""
"next@13.0.6","next","13.0.6","The React Framework","MIT","node_modules/next/license.md",""
"node-abort-controller@3.0.1","node-abort-controller","3.0.1","AbortController for Node based on EventEmitter","MIT","node_modules/node-abort-controller/LICENSE",""
"node-domexception@1.0.0","node-domexception","1.0.0","An implementation of the DOMException class from NodeJS","MIT","node_modules/node-domexception/LICENSE",""
"node-fetch@2.6.7","node-fetch","2.6.7","A light-weight module that brings window.fetch to node.js","MIT","node_modules/node-fetch/LICENSE.md",""
"node-releases@2.0.7","node-releases","2.0.7","Node.js releases data","MIT","node_modules/node-releases/LICENSE",""
"nodemailer-pug-engine@2.0.1","nodemailer-pug-engine","2.0.1","A nodemailer plugin for pug templates","MIT","node_modules/nodemailer-pug-engine/README.md",""
"nodemailer@6.8.0","nodemailer","6.8.0","Easy as cake e-mail sending from your Node.js applications","MIT","node_modules/nodemailer/LICENSE",""
"nodemon@2.0.20","nodemon","2.0.20","Simple monitor script for use during development of a Node.js app.","MIT","node_modules/nodemon/LICENSE",""
"nopt@1.0.10","nopt","1.0.10","Option parsing for Node, supporting types, shorthands, etc. Used by npm.","MIT","node_modules/nopt/LICENSE",""
"nopt@4.0.3","nopt","4.0.3","Option parsing for Node, supporting types, shorthands, etc. Used by npm.","ISC","node_modules/license-checker/node_modules/nopt/LICENSE",""
"normalize-package-data@2.5.0","normalize-package-data","2.5.0","Normalizes data that can be found in package.json files.","BSD-2-Clause","node_modules/normalize-package-data/LICENSE",""
"normalize-path@3.0.0","normalize-path","3.0.0","Normalize slashes in a file path to be posix/unix-like forward slashes. Also condenses repeat slashes to a single slash and removes and trailing slashes, unless disabled.","MIT","node_modules/normalize-path/LICENSE",""
"normalize-range@0.1.2","normalize-range","0.1.2","Utility for normalizing a numeric range, with a wrapping function useful for polar coordinates","MIT","node_modules/normalize-range/license",""
"npm-normalize-package-bin@1.0.1","npm-normalize-package-bin","1.0.1","Turn any flavor of allowable package.json bin into a normalized object","ISC","node_modules/npm-normalize-package-bin/LICENSE",""
"object-assign@4.1.1","object-assign","4.1.1","ES2015 `Object.assign()` ponyfill","MIT","node_modules/object-assign/license",""
"object-hash@3.0.0","object-hash","3.0.0","Generate hashes from javascript objects in node and the browser.","MIT","node_modules/object-hash/LICENSE",""
"object-inspect@1.12.2","object-inspect","1.12.2","string representations of objects in node and the browser","MIT","node_modules/object-inspect/LICENSE",""
"on-finished@2.4.1","on-finished","2.4.1","Execute a callback when a request closes, finishes, or errors","MIT","node_modules/on-finished/LICENSE",""
"on-headers@1.0.2","on-headers","1.0.2","Execute a listener when a response is about to write headers","MIT","node_modules/on-headers/LICENSE",""
"once@1.4.0","once","1.4.0","Run a function exactly one time","ISC","node_modules/once/LICENSE",""
"os-homedir@1.0.2","os-homedir","1.0.2","Node.js 4 `os.homedir()` ponyfill","MIT","node_modules/os-homedir/license",""
"os-tmpdir@1.0.2","os-tmpdir","1.0.2","Node.js os.tmpdir() ponyfill","MIT","node_modules/os-tmpdir/license",""
"osenv@0.1.5","osenv","0.1.5","Look up environment settings specific to different operating systems","ISC","node_modules/osenv/LICENSE",""
"parent-module@1.0.1","parent-module","1.0.1","Get the path of the parent module","MIT","node_modules/parent-module/license",""
"parse-json@5.2.0","parse-json","5.2.0","Parse JSON with more helpful errors","MIT","node_modules/parse-json/license",""
"parseurl@1.3.3","parseurl","1.3.3","parse a url with memoization","MIT","node_modules/parseurl/LICENSE",""
"passport-http@0.3.0","passport-http","0.3.0","HTTP Basic and Digest authentication strategies for Passport.","MIT","node_modules/passport-http/LICENSE",""
"passport-local@1.0.0","passport-local","1.0.0","Local username and password authentication strategy for Passport.","MIT","node_modules/passport-local/LICENSE",""
"passport-strategy@1.0.0","passport-strategy","1.0.0","An abstract class implementing Passport's strategy API.","MIT","node_modules/passport-strategy/LICENSE",""
"passport@0.5.3","passport","0.5.3","Simple, unobtrusive authentication for Node.js.","MIT","node_modules/passport/LICENSE",""
"path-is-absolute@1.0.1","path-is-absolute","1.0.1","Node.js 0.12 path.isAbsolute() ponyfill","MIT","node_modules/path-is-absolute/license",""
"path-parse@1.0.7","path-parse","1.0.7","Node.js path.parse() ponyfill","MIT","node_modules/path-parse/LICENSE",""
"path-to-regexp@0.1.7","path-to-regexp","0.1.7","Express style path to RegExp utility","MIT","node_modules/path-to-regexp/LICENSE",""
"path-type@4.0.0","path-type","4.0.0","Check if a path is a file, directory, or symlink","MIT","node_modules/path-type/license",""
"pause@0.0.1","pause","0.0.1","Pause streams...","MIT*","node_modules/pause/Readme.md",""
"picocolors@1.0.0","picocolors","1.0.0","The tiniest and the fastest library for terminal output formatting with ANSI colors","ISC","node_modules/picocolors/LICENSE",""
"picomatch@2.3.1","picomatch","2.3.1","Blazing fast and accurate glob matcher written in JavaScript, with no dependencies and full support for standard and extended Bash glob features, including braces, extglobs, POSIX brackets, and regular expressions.","MIT","node_modules/picomatch/LICENSE",""
"pify@2.3.0","pify","2.3.0","Promisify a callback-style function","MIT","node_modules/pify/license",""
"postcss-import@14.1.0","postcss-import","14.1.0","PostCSS plugin to import CSS files","MIT","node_modules/postcss-import/LICENSE",""
"postcss-js@4.0.0","postcss-js","4.0.0","PostCSS for CSS-in-JS and styles in JS objects","MIT","node_modules/postcss-js/LICENSE",""
"postcss-load-config@3.1.4","postcss-load-config","3.1.4","Autoload Config for PostCSS","MIT","node_modules/postcss-load-config/LICENSE",""
"postcss-nested@6.0.0","postcss-nested","6.0.0","PostCSS plugin to unwrap nested rules like how Sass does it","MIT","node_modules/postcss-nested/LICENSE",""
"postcss-selector-parser@6.0.11","postcss-selector-parser","6.0.11","> Selector parser with built in methods for working with selector strings.","MIT","node_modules/postcss-selector-parser/LICENSE-MIT",""
"postcss-value-parser@4.2.0","postcss-value-parser","4.2.0","Transforms css values and at-rule params into the tree","MIT","node_modules/postcss-value-parser/LICENSE",""
"postcss@8.4.14","postcss","8.4.14","Tool for transforming styles with JS plugins","MIT","node_modules/next/node_modules/postcss/LICENSE",""
"postcss@8.4.20","postcss","8.4.20","Tool for transforming styles with JS plugins","MIT","node_modules/postcss/LICENSE",""
"promise@7.3.1","promise","7.3.1","Bare bones Promises/A+ implementation","MIT","node_modules/promise/LICENSE",""
"prop-types@15.8.1","prop-types","15.8.1","Runtime type checking for React props and similar objects.","MIT","node_modules/prop-types/LICENSE",""
"proxy-addr@2.0.7","proxy-addr","2.0.7","Determine address of proxied request","MIT","node_modules/proxy-addr/LICENSE",""
"proxy-from-env@1.1.0","proxy-from-env","1.1.0","Offers getProxyForUrl to get the proxy URL for a URL, respecting the *_PROXY (e.g. HTTP_PROXY) and NO_PROXY environment variables.","MIT","node_modules/proxy-from-env/LICENSE",""
"pseudomap@1.0.2","pseudomap","1.0.2","A thing that is a lot like ES6 `Map`, but without iterators, for use in environments where `for..of` syntax and `Map` are not available.","ISC","node_modules/pseudomap/LICENSE",""
"psl@1.9.0","psl","1.9.0","Domain name parser based on the Public Suffix List","MIT","node_modules/psl/LICENSE",""
"pstree.remy@1.1.8","pstree.remy","1.1.8","Collects the full tree of processes from /proc","MIT","node_modules/pstree.remy/LICENSE",""
"pug-attrs@3.0.0","pug-attrs","3.0.0","Generate code for Pug attributes","MIT","node_modules/pug-attrs/LICENSE",""
"pug-code-gen@3.0.2","pug-code-gen","3.0.2","Default code-generator for pug.  It generates HTML via a JavaScript template function.","MIT","node_modules/pug-code-gen/LICENSE",""
"pug-error@2.0.0","pug-error","2.0.0","Standard error objects for pug","MIT","node_modules/pug-error/LICENSE",""
"pug-filters@4.0.0","pug-filters","4.0.0","Code for processing filters in pug templates","MIT","node_modules/pug-filters/LICENSE",""
"pug-lexer@5.0.1","pug-lexer","5.0.1","The pug lexer (takes a string and converts it to an array of tokens)","MIT","node_modules/pug-lexer/LICENSE",""
"pug-linker@4.0.0","pug-linker","4.0.0","Link multiple pug ASTs together using include/extends","MIT","node_modules/pug-linker/LICENSE",""
"pug-load@3.0.0","pug-load","3.0.0","The Pug loader is responsible for loading the depenendencies of a given Pug file.","MIT","node_modules/pug-load/LICENSE",""
"pug-parser@6.0.0","pug-parser","6.0.0","The pug parser (takes an array of tokens and converts it to an abstract syntax tree)","MIT","node_modules/pug-parser/LICENSE",""
"pug-runtime@3.0.1","pug-runtime","3.0.1","The runtime components for the pug templating language","MIT","node_modules/pug-runtime/LICENSE",""
"pug-strip-comments@2.0.0","pug-strip-comments","2.0.0","Strip comments from a Pug token stream (from the lexer)","MIT","node_modules/pug-strip-comments/LICENSE.md",""
"pug-walk@2.0.0","pug-walk","2.0.0","Walk and transform a pug AST","MIT","node_modules/pug-walk/LICENSE",""
"pug@3.0.2","pug","3.0.2","A clean, whitespace-sensitive template language for writing HTML","MIT","node_modules/pug/LICENSE",""
"punycode@1.3.2","punycode","1.3.2","A robust Punycode converter that fully complies to RFC 3492 and RFC 5891, and works on nearly all JavaScript platforms.","MIT","node_modules/url/node_modules/punycode/LICENSE-MIT.txt",""
"punycode@2.1.1","punycode","2.1.1","A robust Punycode converter that fully complies to RFC 3492 and RFC 5891, and works on nearly all JavaScript platforms.","MIT","node_modules/punycode/LICENSE-MIT.txt",""
"qs@6.11.0","qs","6.11.0","A querystring parser that supports nesting and arrays, with a depth limit","BSD-3-Clause","node_modules/qs/LICENSE.md",""
"querystring@0.2.0","querystring","0.2.0","Node's querystring module for all engines.","MIT","node_modules/querystring/License.md",""
"querystringify@2.2.0","querystringify","2.2.0","Querystringify - Small, simple but powerful query string parser.","MIT","node_modules/querystringify/LICENSE",""
"queue-microtask@1.2.3","queue-microtask","1.2.3","fast, tiny `queueMicrotask` shim for modern engines","MIT","node_modules/queue-microtask/LICENSE",""
"quick-lru@5.1.1","quick-lru","5.1.1","Simple “Least Recently Used” (LRU) cache","MIT","node_modules/quick-lru/license",""
"random-bytes@1.0.0","random-bytes","1.0.0","URL and cookie safe UIDs","MIT","node_modules/random-bytes/LICENSE",""
"range-parser@1.2.1","range-parser","1.2.1","Range header field string parser","MIT","node_modules/range-parser/LICENSE",""
"raw-body@2.5.1","raw-body","2.5.1","Get and validate the raw body of a readable stream.","MIT","node_modules/raw-body/LICENSE",""
"react-dom@18.2.0","react-dom","18.2.0","React package for working with the DOM.","MIT","node_modules/react-dom/LICENSE",""
"react-is@16.13.1","react-is","16.13.1","Brand checking of React Elements.","MIT","node_modules/react-is/LICENSE",""
"react-is@18.2.0","react-is","18.2.0","Brand checking of React Elements.","MIT","node_modules/@mui/utils/node_modules/react-is/LICENSE",""
"react-router-dom@6.4.5","react-router-dom","6.4.5","Declarative routing for React web applications","MIT","node_modules/react-router-dom/LICENSE.md",""
"react-router@6.4.5","react-router","6.4.5","Declarative routing for React","MIT","node_modules/react-router/LICENSE.md",""
"react-transition-group@4.4.5","react-transition-group","4.4.5","A react component toolset for managing animations","BSD-3-Clause","node_modules/react-transition-group/LICENSE",""
"react@18.2.0","react","18.2.0","React is a JavaScript library for building user interfaces.","MIT","node_modules/react/LICENSE",""
"read-cache@1.0.0","read-cache","1.0.0","Reads and caches the entire contents of a file until it is modified","MIT","node_modules/read-cache/LICENSE",""
"read-installed@4.0.3","read-installed","4.0.3","Read all the installed packages in a folder, and return a tree structure with all the data.","ISC","node_modules/read-installed/LICENSE",""
"read-package-json@2.1.2","read-package-json","2.1.2","The thing npm uses to read package.json files with semantics and defaults and validation","ISC","node_modules/read-package-json/LICENSE",""
"readdir-scoped-modules@1.1.0","readdir-scoped-modules","1.1.0","Like `fs.readdir` but handling `@org/module` dirs as if they were a single entry.","ISC","node_modules/readdir-scoped-modules/LICENSE",""
"readdirp@3.6.0","readdirp","3.6.0","Recursive version of fs.readdir with streaming API.","MIT","node_modules/readdirp/LICENSE",""
"redis-errors@1.2.0","redis-errors","1.2.0","Error classes used in node_redis","MIT","node_modules/redis-errors/LICENSE",""
"redis-parser@3.0.0","redis-parser","3.0.0","Javascript Redis protocol (RESP) parser","MIT","node_modules/redis-parser/LICENSE",""
"regenerator-runtime@0.13.11","regenerator-runtime","0.13.11","Runtime for Regenerator-compiled generator and async functions.","MIT","node_modules/regenerator-runtime/LICENSE",""
"require-from-string@2.0.2","require-from-string","2.0.2","Require module from string","MIT","node_modules/require-from-string/license",""
"requires-port@1.0.0","requires-port","1.0.0","Check if a protocol requires a certain port number to be added to an URL.","MIT","node_modules/requires-port/LICENSE",""
"resolve-from@4.0.0","resolve-from","4.0.0","Resolve the path of a module like `require.resolve()` but from a given path","MIT","node_modules/resolve-from/license",""
"resolve@1.22.1","resolve","1.22.1","resolve like require.resolve() on behalf of files asynchronously and synchronously","MIT","node_modules/resolve/LICENSE",""
"reusify@1.0.4","reusify","1.0.4","Reuse objects and functions with style","MIT","node_modules/reusify/LICENSE",""
"rifm@0.12.1","rifm","0.12.1","Tiny react input formatter and mask","MIT","node_modules/rifm/LICENSE",""
"rimraf@3.0.2","rimraf","3.0.2","A deep deletion module for node (like `rm -rf`)","ISC","node_modules/rimraf/LICENSE",""
"run-parallel@1.2.0","run-parallel","1.2.0","Run an array of functions in parallel","MIT","node_modules/run-parallel/LICENSE",""
"rxjs@6.6.7","rxjs","6.6.7","Reactive Extensions for modern JavaScript","Apache-2.0","node_modules/rxjs/LICENSE.txt",""
"safe-buffer@5.2.1","safe-buffer","5.2.1","Safer Node.js Buffer API","MIT","node_modules/safe-buffer/LICENSE",""
"safer-buffer@2.1.2","safer-buffer","2.1.2","Modern Buffer API polyfill without footguns","MIT","node_modules/safer-buffer/LICENSE",""
"scheduler@0.23.0","scheduler","0.23.0","Cooperative scheduler for the browser environment.","MIT","node_modules/scheduler/LICENSE",""
"semver@5.7.1","semver","5.7.1","The semantic version parser used by npm.","ISC","node_modules/semver/LICENSE",""
"semver@7.0.0","semver","7.0.0","The semantic version parser used by npm.","ISC","node_modules/simple-update-notifier/node_modules/semver/LICENSE",""
